admin1,admin2,admin3,location,latitude,longitude,year,month,casualties,num_events,min_distance_to_battlefront,hazard_score,pca_hazard_score,hazard_score_tsne
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Yasna Polyana,52.3168,33.1485,2023,1,0,2,488.32084704690806,21.73913043478261,20.35881819371112,5.8483014
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Yasna Polyana,52.3168,33.1485,2023,4,0,2,488.32084704690806,21.73913043478261,20.35881819371112,5.8478336
Chernihiv,Novhorod-Siverskyi,Semenivska,Arkhypivka,52.2355,32.8243,2023,3,0,3,495.34944570013374,22.608695652173914,20.666621115939257,6.735102
Chernihiv,Novhorod-Siverskyi,Semenivska,Arkhypivka,52.2355,32.8243,2023,4,0,1,495.34944570013374,20.869565217391305,20.052516175363618,3.4898772
Chernihiv,Novhorod-Siverskyi,Semenivska,Baranivka,52.0647,32.3002,2023,2,0,1,506.0730519064412,20.869565217391305,20.053661147708997,2.3624754
Chernihiv,Novhorod-Siverskyi,Semenivska,Baranivka,52.0647,32.3002,2023,3,0,2,506.0730519064412,21.73913043478261,20.36071361799682,2.812731
Chernihiv,Novhorod-Siverskyi,Semenivska,Bleshnya,52.1266,32.3454,2023,3,0,3,508.7148219515387,22.608695652173914,20.668048153252926,6.9698014
Chernihiv,Novhorod-Siverskyi,Semenivska,Bleshnya,52.1266,32.3454,2023,4,0,4,508.7148219515387,23.47826086956522,20.975100623540747,7.254814
Chernihiv,Novhorod-Siverskyi,Semenivska,Bronyvy,52.3102,32.4419,2023,4,0,1,518.8896052130112,20.869565217391305,20.055029586536087,1.9721118
Chernihiv,Novhorod-Siverskyi,Semenivska,Gremyachka,52.248,32.7894,2023,4,0,1,497.95661224909077,20.869565217391305,20.05279454567496,3.349822
Chernihiv,Novhorod-Siverskyi,Semenivska,Halahanivka,52.2474,32.7614,2023,1,0,1,499.1596428901606,20.869565217391305,20.0529229947049,3.2818425
Chernihiv,Novhorod-Siverskyi,Semenivska,Halahanivka,52.2474,32.7614,2023,4,1,7,499.1596428901606,41.09285274815423,36.947863722340585,8.144365
Chernihiv,Novhorod-Siverskyi,Semenivska,Karpovychi,52.2177,32.3804,2023,1,0,5,514.2796130038051,39.34782608695652,36.28274725326897,7.655713
Chernihiv,Novhorod-Siverskyi,Semenivska,Karpovychi,52.2177,32.3804,2023,2,0,2,514.2796130038051,21.73913043478261,20.36158984240551,2.7440732
Chernihiv,Novhorod-Siverskyi,Semenivska,Karpovychi,52.2177,32.3804,2023,3,0,3,514.2796130038051,22.608695652173914,20.668642312693333,7.0429454
